Flow,Template,IP,Module,TestType,EdcKill,X,PowerRail,Freq,X,ArrayName,Levels,Timings,HRYConfig,plist,IB,FB,TestName,portCount,passPorts,Port0,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9
BEGIN,COMPOSITE_BEGIN,,,,,,,,,BEGIN,,,,,,,BEGIN,,,,,,,,,,,,
BEGIN,COMPOSITE_BEGIN,,,,,,,,,,,,,,,,PRE_REPAIR,2,1,REPAIR,REPAIR,,,,,,,,
BEGIN,mbistRepair,SSA,CCF,HRY,E,X,VCCIA,LFM,X,LLC_DAT_BISR,SBF_nom_lvl,cpu_ctf_timing_tclk100_cclk100_bclk400,,lnl_dummy_list,60,,SSA_CCF_HRY_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_BISR,10,"1,2,3,4",SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,1,1,1,1,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER
BEGIN,mbistRaster,SSA,CCF,RASTER,E,X,VCCIA,LFM,X,LLC_DAT_RASTER,SBF_nom_lvl,cpu_ctf_timing_tclk100_cclk100_bclk400,,lnl_dummy_list,60,,SSA_CCF_RASTER_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_RASTER,10,1,1,1,1,1,1,1,1,1,1,1
BEGIN,COMPOSITE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,COMPOSITE_BEGIN,,,,,,,,,,,,,,,,REPAIR,2,1,POST_REPAIR,POST_REPAIR,,,,,,,,
BEGIN,fuseConfig,ALL,CCF,FUSE,E,X,VCCIA,LFM,X,REPAIR,SBF_nom_lvl,cpu_ctf_timing_tclk100_cclk100_bclk400,,lnl_dummy_list,60,,ALL_CCF_FUSE_E_BEGIN_X_VCCIA_LFM_X_REPAIR,2,1,1,1,,,,,,,,
BEGIN,COMPOSITE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,COMPOSITE_BEGIN,,,,,,,,,,,,,,,,POST_REPAIR,2,1,ALL_CCF_HRY_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_SANITY,ALL_CCF_HRY_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_SANITY,,,,,,,,
BEGIN,mbistPostRepair,ALL,CCF,HRY,E,X,VCCIA,LFM,X,LLC_DAT_POST_REPAIR,SBF_nom_lvl,cpu_ctf_timing_tclk100_cclk100_bclk400,,lnl_dummy_list,60,,ALL_CCF_HRY_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_POST_REPAIR,2,1,1,1,,,,,,,,
BEGIN,COMPOSITE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,mbistPostRepair,ALL,CCF,HRY,E,X,VCCIA,LFM,X,LLC_DAT_SANITY,SBF_nom_lvl,cpu_ctf_timing_tclk100_cclk100_bclk400,,lnl_dummy_list,60,,ALL_CCF_HRY_E_BEGIN_X_VCCIA_LFM_X_LLC_DAT_SANITY,2,1,1,1,,,,,,,,
BEGIN,COMPOSITE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
