C:\Users\adambyrn\source\repos\lighterFluid\lighterFluid\outputs\module.mtpl
Test Name, Template,BisrMode,bypass_global,BypassPort,ConfigurationFile,CtvCapturePins,CtvPins,descriptor_console,descriptor_ituff,descriptor_operation,descriptor_results,EnableRepair,EndVoltageLimits,Expression,FailCaptureCount,FailuresToCapturePerPattern,FailuresToCaptureTotal,FeatureSwitchSettings,function_name,function_parameter,fuse_module,LevelsTc,LookupTableConfigurationFile,MappingConfig,MaxFailuresPerPatternToItuff,MaxFailuresToItuff,MaxRepetitionCount,MbistTestMode,Patlist,PatternNameMap,RasterInputFile,ResultToken,ScoreboardBaseNumber,ScoreboardEdgeTicks,SetPoint,StartVoltages,StepSize,TestMode,TimingsTc,VoltageStepConfigFile,VoltageTargets,xml_config_file_path
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_NONREP_CORE0,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""hry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_NONREP_CORE1,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""hry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_NONREP_CORE2,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""hry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_NONREP_CORE3,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""hry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_BHRY_CORE_ALL,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_BISR_CORE_ALL,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""RepShareBira""","""bira_bisr_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_RASTER_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_0_RASTER_CORE_ALL,MbistRasterTC,,,1,,"""XXTDO""",,,,,,"""FALSE""",,,,0,0,,,,,"""BASE::SBF_nom_lvl""",,,0,0,,,"""raster_list""",,"""./Modules/ARR_CORE/InputFiles/MBIST_RASTER.json""",,,,,,,,"""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,,,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_BHRY_CORE_ALL,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""HRY""","""bhry_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_HRY_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_BISR_CORE_ALL,PrimeMbistVminSearchTestMethod,"""Compressed""",,1,,,"""XXTDO""",,,,,,ARR_CORE.VCCIA,,99999,,,"""recovery_mask_off,func_mode_on""",,,,"""BASE::SBF_nom_lvl""","""./Modules/ARR_CORE/InputFiles/MBIST_HRY.json""","""./Modules/ARR_CORE/InputFiles/SharedStortoDFFMap.json""",,,0,"""RepShareBira""","""bira_bisr_list""","""9,10,11,12,13,14,15""",,,,0,,ARR_CORE.VCCIA,0.02,"""Scoreboard""","""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,"""VCCIA_HC""",,
SSA_CORE_RASTER_E_BEGIN_TITO_VCCIA_NOM_LFM_MLC_1_RASTER_CORE_ALL,MbistRasterTC,,,1,,"""XXTDO""",,,,,,"""FALSE""",,,,0,0,,,,,"""BASE::SBF_nom_lvl""",,,0,0,,,"""raster_list""",,"""./Modules/ARR_CORE/InputFiles/MBIST_RASTER.json""",,,,,,,,"""BASE::cpu_ctf_timing_tclk100_cclk200_bclk400""",,,,
